"case_no","patents"
"1:13-cv-00982","6576665|6875445"
"6:20-cv-00693",""
"2:14-cv-01572","RE40683"
"3:15-cv-01538","9814915|9597536"
"2019-1259","6726857|6613250|6352655|5766517|6184459|6485659|6905638|6398986|6037537|5736915"
"1:16-cv-00969","7222078|7620565"
"24-1003","6637160"
"2:15-cv-00550","5251294"
"1:12-cv-04007","5991885"
"1:16-cv-00855","7643168"
"1:19-cv-00324","5560360"
"3:13-cv-00793","7808483"
"1:16-cv-12153","11050856"
"1:14-cv-00055","7489423|6894811"
"8:12-cv-01998","8337437"
"1:22-cv-01321","6713446|6958319"
"3:13-cv-01105","6528540|6310094"
"2:15-cv-00390",""
"6:23-cv-00595","7085123"
"3:15-cv-06792","6184459"
"1:13-cv-20944","6617554|6201217"
"3:22-cv-08911","7273468"
"3:14-cv-07869","5972811|5571609"
"2:13-at-00119","8473532"
"1:15-cv-00172","9861031|8813663|9686906|9699955|9807924|9820429|9807922|10004173|9480199"
"6:16-cv-00224","9141960|10251021|10959040|10869169|7376414"
"1:18-cv-01229","6473506|6301556"
"1:18-cv-00541","3715843|8277156|9890550|9347239"
"2:13-cv-01053","D750498|D754545|D643298"
"2:16-cv-00862","8185156|8467831|9532208"
"2:17-cv-00746","9358297|9023790"
"2:14-cv-01024","6059576"
"1:18-cv-01490","8791910|9024790|8432173|9372580"
"1:10-cv-00312","10506278|9703463|9899063|10354288|10560738|10205987|8595057|9832519"
"5:14-cv-00141","7606739|5367627"
"3:22-cv-00268","9402739|8845731|10925752|8845732|9956087|10137001|10973649"
"1:17-cv-01586","6573938|6522352"
"1:16-cv-00067","6253313|5517628"
"1:13-cv-00382","7441196"
"2:17-cv-00036","5547251"
"1:13-cv-00348","8100770|6624802"
"1:13-cv-22524","5920853"
"4:17-cv-03745","8938799"
"2:17-cv-00423","7398636"
"2:21-cv-08183","8275863|9021070"
"6:13-cv-00620","7624044"
"1:17-cv-00983","7080139"
"4:18-cv-01885","5714512|5750561"
"1:13-cv-02157","10963124"
"1:10-cv-00861","5495301"
"2:12-cv-00773","7844919|7200583|6405308|5825651|7188335|6675294"
"4:23-cv-03009","D667795|9755388|8529289|D677630|D746234|8262399"
"1:14-cv-03315","5676990"
"5:21-cv-07983","9683612"
"2017-2588","8501712|8168614|9682092"
"1:13-cv-01307","8434282"
"3:22-cv-04480","5592491|5481546|5663757|5388101"
"2:10-cv-00530","6096541|5712088|7790366|6074816|6472180|5863719|6057093|6027729|5922857|5714596|6171782"
"3:12-cv-01700","7883155|6371567|5374111"
"2:17-cv-07310","7255878|9023391"
"4:16-cv-00413",""
"2017-2085","8728474|8168179|9402899|9073994|9067999|7595048"
"2:15-cv-00154","5404507"
"1:11-cv-00395","7457628|8473199|8442550|9183584|9754333|7599795|9002371|9754317"
"1:17-cv-01429","7690148|6327812"
"3:15-cv-00776","5686738"
"2:13-cv-04911","6761667"
"1:19-cv-01508","7106705|6651207"
"2:17-cv-00023","7628716"
"2017-1502","9952645|9904359|7400970"
"2:10-cv-00353","6958161"
"3:11-cv-01305","9792409|10664571"
"22-1033","7124927|7389905"
"2:17-cv-00554","8239481"
"1:13-cv-01851","8489868"
"2:18-cv-10069","8065527"
"1:11-cv-01140","9993467"
"2022-1615","7106705|6651207"
"6:14-cv-00189","5412730"
"1:20-cv-21653","5629867|6809246"
"2:15-cv-01680","8724622|8243723|7535890|8995433|8199747"
"1:10-md-02200","8256577"
"4:13-cv-03025","7108640"
"2:10-cv-00408","4760096"
"1:23-cv-00998","8720408"
"1:23-cv-00026","9128975"
"0:13-cv-60614","7212811|7292844|7058395|6983139"
"1:11-cv-05349","6266674"
"5:12-cv-03876","6263439"
"3:20-cv-01668","6115817"
"2:16-cv-00441","9280886|8912893"
"4:21-cv-00554","6397143"
"1:13-cv-11949","4023734"
"1:12-cv-00004","5829452"
"1:23-cv-00851",""
"2:17-cv-11195","6952645|7400970|6904359"
"1:10-cv-06679","6711204"
"3:19-cv-07470","10462767|10912081|10568113|10944527|10951271"
"1:15-cv-00183","8101843"
"1:17-cv-08717","5625776|7606739"
"1:21-cv-00744","7567498"
"2:16-cv-00250","8561244|9084473|8707500|9060596"
"2:16-cv-00962","8778962|5665772|8436010"
"4:10-cv-40003","6930129"
"2011-1309","6851015"
"1:22-cv-00696","5999091"
"1:21-cv-00938",""
"6:13-cv-00112","8762713|8359476"
"337-TA-1161","7400970"
"2:17-cv-00718","9402098|8656419|7103794|10911938|8646014"
"2:13-cv-01218","5944786"
"1:19-cv-00405","5567247|5605578"
"1:20-cv-00652","8699779"
"2014-1039","5548637"
"1:15-cv-03945","8995433"
"8:15-cv-00088","6057862"
"1:10-cv-00376","5991843|5938764|7336531|5787174|7101727|7285979|7138823|5255109|6002613|7389369"
"8:12-cv-01118","5828837"
"2:16-cv-00755","5686738"
"3:22-cv-04250","8401571|8175037|RE44742|6920486|7567580"
"1:10-cv-00649","6374229"
"1:16-cv-08625","6243315"
"3:13-cv-01944","6738155|6611349"
"4:14-cv-01878","7586871|7024460|8429169|7031314|9167021"
"2:15-cv-00296","6672762"
"6:15-cv-00742",""
"1:12-cv-05988","RE44144"
"1:21-cv-06021","7538691|7482952|7064681|7479901"
"2016-2576","7325140|7623439|8474016|7089443|7646835"
"1:13-cv-20818","5655271|5926920"
"2012-1432","9493582|9200088"
"5:16-cv-00088","6650327|5717881|6816145"
"3:14-cv-02839","8765470|8546140|8268620|8691574|8183038|8741648|9447382"
"1:10-cv-01041","10149829"
"6:21-cv-00466","8856221"
"8:12-cv-02122","D625471"
"6:15-cv-00584","D893979|10272934|D881673"
"1:11-cv-06241","7826641|7961909|9235934|8235934|8970709|9229540|9189856|7729515|8897494|8542219|8553935"
"17-1497","7925416|7512475"
"2:10-cv-03101","6505530"
"1:12-cv-00874","10844697"
"9:15-cv-80594","8099420|7945544|5978791|6928442|7802310"
"1:17-cv-01447","6152220|5515038|6732817|7314099"
"1:10-cv-01029","8967940|9745123"
"6:19-cv-00319","7113090|8612591|8493202|7633385|8395494|9141276|8860804"
"1:13-cv-01054","8134600|9197806|8581991|8947542|7633524|7907172|8477197"
"2017-2581","D679099|D686000|D685999"
"2:12-cv-02517","7828309"
"4:10-cv-01005","6128415"
"1:21-cv-00887","7101574|7863331"
"2021-1532","7056821|9379079|8848462|8086938|7494846|9147664|8669619"
"1:23-cv-03116","7454002"
"3:15-cv-01400","7977823|7904738"
"2:23-cv-00284","6917962|8176122|7287055|7647372|7299258|7734694|7975007|8117152|7062515|7590665|6223177|7320018"
"2:12-cv-08507","9001899"
"2:17-cv-10056","6279434"
"1:22-cv-00868","7061488|6362822"
"1:11-cv-00917","10238620|10548871|10653662|9107898|11096920|9572814|9532971|10653660|8513299|9907780|11110074|7915307|9861607|9486437"
"2:15-cv-01878","6324545|RE41210|7587514|7287088|6058399"
"2:20-cv-00687","5592555|5608873|5771394|5502689|5530597"
"1:16-cv-12438","6795805|7151802|7191123|7260521|6807524"
"2:13-cv-00601","8238869"
"4:11-cv-02855","6711012|6237112|6937104|8015444|7318170|6734597|6549400"
"1:17-cv-01832","7785334|7806905|7824420"
"1:13-cv-01967","9658614|7515981"
"2:10-cv-01249","8542815|9179005"
"3:15-cv-00857",""
"3:18-cv-05634",""
"1:14-cv-01250","6962462"
"2:23-cv-00283","8375212"
"8:11-cv-01460","7030781|6952645|7400970|6714859|6904359|6486801"
"1:20-cv-02311","6409599"
"3:10-cv-30203","5825427"
"2:22-cv-09003","8466139|8329680|7456160|6774122"
"2:22-cv-00114","6836654"
"2:16-cv-11810","5963642"
"2:16-cv-00752","6795918"
"6:22-cv-00649","6465743"
"337-TA-1234","7479949|5455599|5848105|7362331|5377354|6188578|6424354|5920726|7657849|7633076|7469381|7278032|7383453"
"1:14-cv-00513","D830569|7244237"
"6:21-cv-00313","9050307"
"2020-1419","7941345|8307047|8140384"
"2:15-cv-01783",""
"12-577","9774745|8125982|7068668|10063710|8724643|7486667"
"3:11-cv-05726","5725552|5944738"
"1:13-cv-01568","7320999|7619001|7803840|6509376|8399514|8759393"
"2022-1891","5691336"
"1:21-cv-01051","6330549"
"1:10-cv-01240","5751345|5751346"
"2:20-cv-00313","5891459|6117872|7452916"
"2:11-cv-00387","9531872"
"3:16-cv-00387","8256916|8362700|8089370|8077052|7336157|7429827|7196477|D554284"
"3:12-cv-01698","7346472|8214175|7660700|7949494"
"2016-2710","5223844"
"1:23-cv-00821","8651369"
"2:18-cv-02980","6836737|9430936|8964708|8924588"
"6:14-cv-00177",""
"2:15-cv-00409","8675719|8521460"
"1:15-cv-01806","RE44633|7352685|7801016|8593931"
"0:15-cv-62679","7024696"
"2022-1367","6977809"
"6:20-cv-00827","9706476"
"8:21-cv-01009","8096214|8109181"
"4:10-cv-00677","6162137"
"1:17-cv-00084","5365233"
"2:11-cv-05525","6658576|5890195|5963481|5896550"
"6:15-cv-01081","7079864|6920338"
"5:12-cv-00299","9005146"
"1:19-cv-04387","7917422|7698192"
"2:10-cv-00227","6442485"
"6:21-cv-00954","5768508"
"1:18-cv-00292","6574239|8291010|8266296"
"1:11-cv-01357","7051389|7415742"
"8:11-cv-01636","8295802"
"1:18-cv-00003","8341691|7665119"
"2021-1449","5826034"
"2:22-cv-08555","9261365"
"1:15-cv-02058","6651134|6902993|7158429|6363031|6825526|6680516"
"1:20-cv-00330","9434476"
"1:12-cv-00373","6346795"
"2:14-cv-00655","8166096|8024395"
"23-1171","6909706"
"1:22-cv-00566","9641849"
"1:14-cv-00498","9144704"
"1:21-cv-01085","8067451|8067033|8449910|8309127|8318202|8501228"
"1:17-cv-00121","9966174"
"1:12-cv-01032","8878949"
"6:20-cv-00449","5895672"
"2016-1476","6825780"
"2:20-cv-00052","8533860"
"0:12-cv-00827","5940510|6105013|5949880|6237095"
"6:11-cv-00317","11175048"
"4:13-cv-01073",""
"1:13-cv-00005","8477778"
"1:14-cv-00151","D440806"
"2:10-cv-00293","6275983|5519867|5572193|RE39486|6359898|5311516|5929852|6424354|5946647|5490230|6343263|7479949|5319712|5481721|5915131|6175559|5838315|5969705|5455599|6493002|5566337"
"2:12-cv-01828","8108492|5987500"
"337-TA-729","7729530"
"3:23-cv-02830","7346472|8214175|7660700|7949494"
"1:12-cv-00557","5437722"
"1:19-cv-02365","7934090|7310304|7088782|6847803|7706458"
"1:15-cv-03496","5705648"
"2:16-cv-01032","11050615|11024311|9632748|9812128"
"5:17-cv-01852","8940330|8454996"
"3:13-cv-06318","D853642"
"2020-2095","5781752"
"2:16-cv-13987","8290035|8065594"
"3:19-cv-00513","5682526|5715451"
"2:22-cv-00360","6381582"
"2:14-cv-00504","5995102|6118449|7111254"
"2:10-cv-00790","9241082|9232088|9560293"
"2018-2056","10754882"
"2021-1663","6647828|6848339|6453562"
"2:15-cv-00710","7194291|10097676|7941195"
"1:13-cv-08452","11254213|10981452|11447023"
"1:14-cv-00240","8402281|6321201"
"5:18-cv-07039","6272533"
"1:20-cv-01025","RE41685"
"1:12-cv-00234","9872854|7427638|10092541"
"6:22-cv-00321","7821425|7903092|8749251"
"1:13-cv-02204","8896550|10612983|8886488|8423322|8019567"
"2:19-cv-06485","5682526|5715451"
"2021-1379","10154964|10105374|10172799|10064878|10052286|10143698"
"6:20-cv-00880","9161914"
"3:11-cv-03422","8019060"
"1:20-cv-02970","9300723|8700729|8244179|7624417"
"5:11-cv-03511","5781784"
"2:16-cv-00236","6816356"
"2:16-cv-00213","D498167"
"5:23-cv-01256","9408993"
"7:11-cv-09651","6728766|6510466|7069293|6324578"
"4:17-cv-00304","6857067"
"8:13-cv-00204","6216139"
"6:15-cv-01097","6330549"
"1:18-cv-00324","8225920"
"3:17-cv-00319","8455194"
"2:13-cv-00980","8287268"
"1:12-cv-24420","6330549"
"2:15-cv-00569","7653959"
"1:14-cv-14697","7582299"
"2:23-cv-00278","9419837|10080178|10045314|8737300|8682338"
"1:19-cv-00101","7592348"
"2:17-cv-00490","4743712|D323643|D325023|D473194|4932897|D323023|D471442|D415101|4777324|D374862"
"6:12-cv-00605","5827178"
"1:19-cv-11272","8061598|8336772|7942317|8033458|8794516"
"6:15-cv-00683",""
"1:18-cv-00618","10484511|10637968"
"1:10-cv-00604","5754946|5915210|5659891|5809428|5894506|5786748|5590403"
"2:14-cv-00064","D563739"
"2:10-cv-00335","9995473|9243796"
"1:21-cv-01152",""
"2013-1566","7914196|7404660|7384177|7537370|8215816|6755547|7434974|7300194"
"2013-1450","7101574|7863331"
"2:17-cv-00670","5745569"
"2:11-cv-00143","5790530"
"3:13-cv-01951","D624635"
"1:08-cv-21984","5587236"
"2:14-cv-09268","7899479"
"1:10-cv-01863","6111023|5847053"
"1:17-cv-05087","11028929|10969023"
"2:16-cv-00980","10183020"
"2014-1347","10933090|10624855|10925896|11013761|10695367|11446252|10925897|11013762|9561251|11234938|10682376"
"8:16-cv-02430",""
"1:23-cv-16563","D615535|D617785|D617784|7933122|D615967|D615536|D617787|D638005"
"22-1680","7191411|8352880|7216301|7725836|7640517"
"0:15-cv-02565","D903800"
"2:18-cv-00526","7962090|6757913|8265545"
"1:12-cv-09117","7392283|7174362"
"1:18-cv-06505","8732318"
"20-1165","7727310"
"1:20-cv-00738","9792409|10664571"
"2017-1606","7672104|7630186|7550870"
"2:22-cv-06112","8712723|7881902|7653508"
"3:17-cv-03201","7720567"
"2:22-cv-00240","8878810"
"1:23-cv-01043",""
"3:11-cv-01104","D781207"
"1:10-cv-11380","7425168|6899586|6843699|D590896|7467984"
"22-1257","6854067"
"1:12-cv-00260","9850019|10214312|9033168|9403310|10457437|9139326|9522759|10023345|9738409|10266299|10214311|8857637"
"2:21-cv-01393","7268703|6459987"
"2:13-cv-00838","9066980|9173942|7947724|8729094"
"3:12-cv-00223","9022260|8590757"
"2:16-cv-01118","7224678|7616961|7440572|7082117"
"6:15-cv-06640","9936086"
"8:15-cv-02153","8290035|8065594"
"1:17-cv-01394","7047851"
"2:15-cv-00615","8320733"
"0:15-cv-02562","8992608"
"2:13-cv-00305","7543177|7958388"
"0:16-cv-00896","7917922"
"6:12-cv-00285","6260952|7004564|6270201|7090343|7744202"
"2019-2318","6243391|6108347"
"2:20-cv-13244","5999927"
"1:17-cv-00755","5987440"
"9:13-cv-80729","6626800"
"2:15-cv-01230","7686370|6735819|7401837"
"2:15-cv-08687",""
"2:21-cv-00426","6892736"
"2:10-cv-00038","6049835"
"2020-2083","6243315"
"1:15-cv-08422","5632733|6090077|7351224|5578011"
"1:20-cv-01008","9073933|9522919"
"2:14-cv-00276","9737154|8769747|5904172"
"2:23-cv-02943","7916877"
"6:13-cv-00609","8558882"
"2:16-cv-00554","9456086|7023979|10491748|7269253|10237420"
"6:20-cv-00841","6886836"
"1:17-cv-10565","8802735|6794410|9186346"
"8:12-cv-00030","10245075"
"2:16-cv-00967","6214815"
"1:17-cv-05384","7124205"
"1:22-cv-00885","10880721|8630234"
"9:16-cv-80941","5912895|6587473|6327264"
"2008-1229","D576555"
"6:13-cv-01062","6979640|7899145|8572297|7609799|8103497"
"2016-1965","5625776|7606739"
"8:18-cv-00133","9261365"
"3:19-cv-03770","8732318"
"1:14-cv-01363","9262781|9934506"
"3:14-cv-04818",""
"1:13-cv-04343","9045163"
"1:23-cv-22281","7854669"
"1:18-cv-00542","7296121"
"2:13-cv-07063","8302549"
"2022-2090","662773|660646|8381712"
"2:20-cv-00040","5434562"
"2:14-cv-00195",""
"2022-2070","8381309"
"1:17-cv-00462","8724622|8243723|7535890|8995433|8199747"
"2:14-cv-00902","9391957|10129214|8695066"
"2:10-cv-03246","7822777|7685156"
"3:17-cv-00892","D747708"
"1:22-cv-01430","10378074|10378075|9803256"
"0:11-cv-01075","8381904"
"22-1570","7069293|6324578"
"5:18-cv-03392","8097651|6974595"
"3:21-cv-03942",""
"337-TA-1240","8467844|8634894"
"6:10-cv-06669","6272533"
"1:18-cv-00219","9092428"
"4:16-cv-00994","7171629|7428707"
"2:12-cv-00141","10222526|9354369|9588269"
"2:21-cv-01147","5898044"
"5:14-cv-01169","6978954|7226009|7631823|7025293"
"1:12-cv-01093","7006144"
"3:12-cv-06298","6081297"
"2014-1431","7379981|8700749|8855019"
"1:15-cv-00703","5226676"
"8:11-cv-01461","7955794"
"2020-1950","7904334"
"2:20-cv-00321","5454392|5163469|5054513|5259410"
"2:18-cv-16987","9742824|9762636|9729594"
"2:16-cv-01476","10310363|9726335|9612511|9024241|9274407|10281810"
"4:11-cv-00614","6236487|6587261|6115174|6356383|6771413|6344922"
"5:13-cv-04398","6442485"
"2:11-cv-00156","5490216"
"1:16-cv-01196","6612713"
"4:12-cv-02035","7187706"
"1:16-cv-00248","5768508"
"5:19-cv-00072","D867985"
"2018-1723","7818268|7814032|8073787"
"3:15-cv-05489","8307761|8661970"
"1:14-cv-04901","5602116|7148211"
"8:14-cv-01514","9300723"
"6:12-cv-00513",""
"1:16-cv-00182","6675151|7430519|6334133"
"2022-1421","5471593"
"2:14-cv-00329","7282664|9895775|6906279|6576859"
"5:22-cv-00685","5490216"
"1:15-cv-01475","7084735"
"1:19-cv-01006","5913180"
"2:13-cv-00721","6836420"
"2022-1681","7300194|7404660|6886956|7384177|7537370|8215816|6755547|7434974|6508563"
"1:14-cv-00048","6330549"
"1:13-cv-01205","7000894"
"1:12-cv-00878","7331226|7121982"
"3:23-cv-00811","5874471|6028107"
"8:18-cv-02150","7231298"
"1:11-cv-02036","5206854|5251328|6236717|5828657|5719922|5812537|6970501|5444704|7894472"
"2013-0141","8346894"
"1:13-cv-04417","5825352"
"1:13-cv-00453","9326945|6967208"
"2:17-cv-00539","8567596"
"5:10-cv-00810","9282090"
"2:17-cv-04703","10499091"
"1:20-cv-01568","5806062|6708213"
"1:19-cv-01494","7073634|6652213"
"2:18-cv-00091","5945452|5428070|6646006|5891459|7452916"
"6:15-cv-00995","7271840"
"3:22-cv-01882","6970706"
"3:12-cv-02766","6075793"
"1:15-cv-23053","8260105|9081164|7599599"
"2:10-cv-14902","9456086|7023979|10491748|7269253|10237420"
"23-2017","6415280|8099420|7945544|5978791|6928442|7802310"
"1:22-cv-05835","8323900"
"3:11-cv-02511","RE38551"
"6:16-cv-01245","8088016"
"4:10-cv-00626","6731013|6326231|6388330|5322207|RE38806|6352879|5872038|5495398|5527740|6172419|6229217|6023085|6103611|5639695|5519936|5912188|6097061|5608262|6100594|5541450"
"1:13-cv-01597","7400970"
"2:12-cv-00208","6845931|7384011|8870107|7121485|7726594"
"3:10-cv-01493","5843497|6630192"
"1:16-cv-00604","8365513"
"8:10-cv-00296","8609701|8013002|8592462|7816383|7767700|8084475|8754109|8648098|8383150|7910610|8420674|7635707|8318780|8778947|7566729"
"1:21-cv-00098","8793237|9069860|9378521|8880497"
"22-1194",""
"23-1272","9141612|7552118|6963866|7836067"
"2:13-cv-09555","6645988|6699885|6489346|7399772"
"2:17-cv-00980","7565359|5983227|8352854|9626342|7171414"
"1:13-cv-10952","8768756"
"1:22-cv-00420","8495167|10726102"
"2012-1589","6446111"
"3:12-cv-00504","8437800|7251475|7991431|8190202"
"1:12-cv-00115","7851482|8329216|8192722|8309060|8309122|8114383"
"2:14-cv-00709","9749829|9467838|9445251|9820123|8213970"
"2:14-cv-00762","6718285|7502582|7720425"
"6:20-cv-00326","8402281|6321201"
"1:16-cv-08362","7373825"
"2:18-cv-09880","D850075|D850076|D850077|D850074|D858962|D850072|D860608|D850068|D860607|D696853|D860606"
"2:12-cv-03274","10143693"
"2016-2249","8829365"
"6:15-cv-01110","8202908"
"1:12-cv-11448","5412730"
"1:10-cv-00278","7783299"
"3:18-cv-00306","9454748"
"3:14-cv-02305","9516370"
"337-TA-1196","8673927|8853156|8846695|8178541|7407955|8119648"
"2:12-cv-02183","D555636"
"0:17-cv-02191","8318800|8410167|8602215|7323493"
"1:19-cv-01042","5560360"
"2:13-at-00528","5676990"
"2007-1294","5930474"
"6:23-cv-00539","7145442"
"1:13-cv-03349","6866812"
"1:19-cv-12125","6842786|7310769|7071941|6701023|6275587|6894704|6415278|6915484|6857105|7089248|6754382|7246748|5999649|5860074|7305617|6639593|6748111|6934909|6771816|5835634|6411730|6324555|6073148|6408092|6964051"
"1:21-cv-01257","6389541"
"4:21-cv-01848","7373954|7299510"
"2:16-cv-00130","8862508"
"6:14-cv-00921","8702308|8523439"
"1:14-cv-00495","7054830"
"1:15-cv-01623","7548869"
"1:22-cv-00266","6624245|7744913|6210314|8257723"
"6:21-cv-01207","6442485"
"1:23-cv-00923","9172765"
"6:16-cv-00286",""
"1:22-cv-00395","8150374"
"2:10-cv-00014","D750506|D750977"
"1:19-cv-01214","9295642|9545399|11103494|6419960|11103495|9844544|8999386|9844545|8202537|8287903"
"3:21-cv-05275","8652683|8658310|8420258|9412998|9431181|9979017"
"3:22-cv-01009","8938818|8813269|8528118"
"3:12-cv-04967","6592745|5820551|6143164"
"4:19-cv-00765","6750786|6946974|7492283|6501391"
"1:14-cv-00156","D465234"
"1:23-cv-15409",""
"2:15-cv-03793","9181556"
"2:18-cv-01728","7737112"
"1:18-cv-01105","6560274|5485511|6400814"
"2014-1171","9671272|9285259"
"1:14-cv-00026","D663967|D663966"
"3:20-cv-05957","6409547"
"12-970","11179434|10406199|10265370|9814751|10039800|9616096|9463183|10940177"
"2007-1023","8283144"
"4:14-cv-03030","5122154|5593417"
"2:22-cv-00332","7827581|9344183"
"2015-1033","7053645"
"6:10-cv-01293","7386906|7320691"
"2:16-cv-02103","5949438|5796411|5828814"
"2:12-cv-00452","7639122|6904796"
"4:22-cv-00934","8712846|8396743|8533047|8374956|8775255"
"4:11-cv-00090","5734837|5630069|6073109|6058413"
"2:12-cv-00539","8424752|8651369|8936190|7992773"
"1:20-cv-01466","6226412"
"1:23-cv-00071","7007403|7971369"
"1:20-cv-00985","4955766"
"8:13-cv-00430","6185590|6771381|7986426|7477410"
"1:18-cv-00242","7413319|7717582"
"6:17-cv-00149","8099614|7685439"
"1:21-cv-02291","8028872"
"3:17-cv-00316","10105444"
"2:12-cv-00309","9123249|10046694|10906544|8744666|6147896|8903617"
"6:23-cv-00404","8157047|8060282|8019501|7650210|7082359|8229624|8346438|7630802|8036788|6738697"
"6:21-cv-01134","8621578"
"337-TA-751","6740669"
"2:16-cv-00708","8424752|8651369|8936190"
"1:13-cv-02106","7385497|RE43990|9096189|9589439|RE43891|10163287"
"1:12-cv-00197","10154092|6549988"
"1:21-cv-01505","6574267"
"2:14-cv-00037","8193792"
"1:15-cv-00953","7537061"
"1:15-cv-02333","D646548"
"2:15-cv-01132","5592555|5608873|5771394|5502689|5530597"
"2:18-cv-00472","5908838|8268804|7790705|8252776|8722650|7919483"
"1:14-cv-01444","6442485"
"1:11-cv-00280","6715446"
"1:11-cv-00823","7000894"
"1:15-cv-00849","6097061"
"8:12-cv-00719","7239338"
"2:15-cv-00120","6192123"
"6:21-cv-00187","5468149"
"2014-1594","8281999|6820807"
"2:22-cv-00503","6080330"
"4:18-cv-02689",""
"2021-1109","8119381"
"3:15-cv-00892","8178773|7858870"
"0:22-mc-62358","8146077"
"1:17-cv-00039","7293385"
"1:12-cv-00542","7082167"
"2:10-cv-00042","7611724|7608280"
"3:15-cv-02454","5412730"
"2018-2426","5434562|6212635"
"3:17-cv-04561","RE43675|7286828|7916648|RE44607"
"2:21-cv-02074","9198054|9402158"
"1:18-cv-00181","8626818"
"6:12-cv-00181","5206854|5828657|5812537|6970501|5251328|7894472"
"6:21-cv-01158","6093101"
"6:20-cv-00442","5793302"
"6:21-cv-01177","6108858"
"2:21-cv-00125","7068684|6067349|8391298|7123699"
